GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hospital-appointment-management-system,implementations.notifications,EmailNotificationService,0,9,0,0,0,3,0,2,0,2
hospital-appointment-management-system,implementations.notifications,SMSNotificationService,0,9,0,0,0,3,0,2,0,2
hospital-appointment-management-system,implementations.notifications,ConsoleNotificationService,0,9,0,0,0,3,0,2,0,2
hospital-appointment-management-system,implementations.notifications,WhatsAppNotificationService,0,9,0,0,0,3,0,2,0,2
hospital-appointment-management-system,default,Main,10,315,4,23,1,82,5,14,1,1
hospital-appointment-management-system,models,Appointment,0,28,0,0,0,8,0,2,0,2
hospital-appointment-management-system,models,Department,0,9,0,0,0,4,0,1,0,1
hospital-appointment-management-system,models,Bill,0,20,0,0,0,6,0,2,0,2
hospital-appointment-management-system,models,Doctor,0,20,0,0,0,6,0,2,0,2
hospital-appointment-management-system,models,Patient,0,20,0,0,0,6,0,2,0,2
hospital-appointment-management-system,models,TimeSlot,0,9,0,0,0,4,0,1,0,1
hospital-appointment-management-system,implementations.billing,FollowUpDiscountBillingService,0,5,0,0,0,2,0,2,0,2
hospital-appointment-management-system,implementations.billing,EmergencyBillingService,0,5,0,0,0,2,0,2,0,2
hospital-appointment-management-system,implementations.billing,StandardBillingService,0,5,0,0,0,2,0,2,0,2
hospital-appointment-management-system,factories,DoctorAllocationFactory,3,30,0,6,1,7,1,4,1,1
hospital-appointment-management-system,factories,ReportFactory,3,31,0,6,1,7,1,4,1,1
hospital-appointment-management-system,factories,BillingFactory,3,26,0,6,1,7,1,4,1,1
hospital-appointment-management-system,factories,NotificationFactory,3,34,0,8,1,9,1,5,1,1
hospital-appointment-management-system,implementations.allocation,EmergencyDoctorAllocationStrategy,0,45,1,7,0,8,1,5,0,2
hospital-appointment-management-system,implementations.allocation,SpecialtyBasedAllocationStrategy,0,44,1,7,0,8,1,5,0,2
hospital-appointment-management-system,implementations.allocation,LeastBusyDoctorAllocationStrategy,0,21,0,2,0,4,0,3,0,2
hospital-appointment-management-system,services,DoctorManagementService,0,12,0,0,0,4,0,2,0,2
hospital-appointment-management-system,services,AppointmentRescheduleService,0,45,0,2,0,11,0,3,0,2
hospital-appointment-management-system,services,ReportGenerationService,0,33,0,0,0,9,0,4,0,4
hospital-appointment-management-system,services,AppointmentBookingService,0,47,0,4,0,13,0,4,0,2
hospital-appointment-management-system,services,AppointmentCancellationService,0,24,0,2,0,8,0,3,0,2
hospital-appointment-management-system,services,BillingGenerationService,0,29,0,2,0,9,0,3,0,2
hospital-appointment-management-system,services,HospitalStore,0,193,0,2,0,31,0,15,0,14
hospital-appointment-management-system,implementations.reports,PatientHistoryReportService,0,32,0,2,0,6,0,4,0,3
hospital-appointment-management-system,implementations.reports,DailyRevenueReportService,0,22,0,0,0,4,0,3,0,3
hospital-appointment-management-system,implementations.reports,DoctorAppointmentReportService,0,16,0,0,0,4,0,2,0,2
